MONTH,HOUR,TOTAL,FATAL,percent
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,18,0,0
1,7,31,1,0.032258065
1,8,41,0,0
1,9,35,0,0
1,10,51,2,0.039215686
1,11,50,0,0
1,12,52,1,0.019230769
1,13,57,1,0.01754386
1,14,54,3,0.055555556
1,15,73,1,0.01369863
1,16,44,0,0
1,17,47,0,0
1,18,0,0,0
1,19,1,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,1,0,0
2,4,0,0,0
2,5,0,0,0
2,6,32,0,0
2,7,46,0,0
2,8,64,1,0.015625
2,9,46,1,0.02173913
2,10,44,0,0
2,11,54,2,0.037037037
2,12,50,1,0.02
2,13,49,0,0
2,14,43,1,0.023255814
2,15,71,1,0.014084507
2,16,54,1,0.018518519
2,17,58,0,0
2,18,1,0,0
2,19,0,0,0
2,20,0,0,0
2,21,1,0,0
2,22,0,0,0
2,23,2,0,0
3,0,2,0,0
3,1,0,0,0
3,2,0,0,0
3,3,2,0,0
3,4,0,0,0
3,5,2,0,0
3,6,29,2,0.068965517
3,7,44,1,0.022727273
3,8,79,0,0
3,9,58,1,0.017241379
3,10,51,1,0.019607843
3,11,55,2,0.036363636
3,12,49,0,0
3,13,69,1,0.014492754
3,14,51,2,0.039215686
3,15,88,2,0.022727273
3,16,65,1,0.015384615
3,17,43,1,0.023255814
3,18,0,0,0
3,19,1,0,0
3,20,1,0,0
3,21,0,0,0
3,22,0,0,0
3,23,0,0,0
4,0,1,0,0
4,1,1,0,0
4,2,1,0,0
4,3,0,0,0
4,4,1,0,0
4,5,0,0,0
4,6,12,0,0
4,7,39,0,0
4,8,50,0,0
4,9,41,1,0.024390244
4,10,36,1,0.027777778
4,11,63,0,0
4,12,54,0,0
4,13,65,1,0.015384615
4,14,49,0,0
4,15,67,0,0
4,16,57,1,0.01754386
4,17,58,1,0.017241379
4,18,1,0,0
4,19,3,0,0
4,20,1,0,0
4,21,3,0,0
4,22,2,0,0
4,23,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,1,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,37,1,0.027027027
5,7,33,1,0.03030303
5,8,68,0,0
5,9,60,0,0
5,10,43,0,0
5,11,53,4,0.075471698
5,12,54,1,0.018518519
5,13,49,2,0.040816327
5,14,57,2,0.035087719
5,15,56,0,0
5,16,48,0,0
5,17,55,0,0
5,18,2,0,0
5,19,0,0,0
5,20,0,0,0
5,21,0,0,0
5,22,0,0,0
5,23,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,1,0,0
6,6,20,0,0
6,7,52,1,0.019230769
6,8,55,1,0.018181818
6,9,37,0,0
6,10,37,1,0.027027027
6,11,41,2,0.048780488
6,12,46,0,0
6,13,59,1,0.016949153
6,14,47,0,0
6,15,70,1,0.014285714
6,16,49,0,0
6,17,41,1,0.024390244
6,18,1,0,0
6,19,0,0,0
6,20,1,0,0
6,21,0,0,0
6,22,0,0,0
6,23,0,0,0
7,0,1,0,0
7,1,1,0,0
7,2,0,0,0
7,3,2,0,0
7,4,0,0,0
7,5,0,0,0
7,6,30,1,0.033333333
7,7,40,0,0
7,8,50,0,0
7,9,50,2,0.04
7,10,58,0,0
7,11,43,1,0.023255814
7,12,55,1,0.018181818
7,13,57,0,0
7,14,54,1,0.018518519
7,15,71,0,0
7,16,53,1,0.018867925
7,17,49,0,0
7,18,0,0,0
7,19,0,0,0
