MONTH,HOUR,TOTAL,FATAL,percent
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,9,0,0
1,7,8,1,0.125
1,8,12,0,0
1,9,9,0,0
1,10,22,2,0.090909091
1,11,19,0,0
1,12,15,0,0
1,13,23,1,0.043478261
1,14,22,1,0.045454545
1,15,26,1,0.038461538
1,16,13,0,0
1,17,17,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,0,0,0
2,4,0,0,0
2,5,0,0,0
2,6,8,0,0
2,7,9,0,0
2,8,13,0,0
2,9,11,1,0.090909091
2,10,14,0,0
2,11,22,0,0
2,12,16,0,0
2,13,18,0,0
2,14,17,1,0.058823529
2,15,20,1,0.05
2,16,11,0,0
2,17,18,0,0
2,18,0,0,0
2,19,0,0,0
2,20,0,0,0
2,21,1,0,0
2,22,0,0,0
2,23,1,0,0
3,0,1,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,0
3,4,0,0,0
3,5,0,0,0
3,6,11,2,0.181818182
3,7,9,0,0
3,8,15,0,0
3,9,20,0,0
3,10,16,0,0
3,11,17,1,0.058823529
3,12,17,0,0
3,13,25,1,0.04
3,14,11,0,0
3,15,21,1,0.047619048
3,16,19,1,0.052631579
3,17,14,0,0
3,18,0,0,0
3,19,0,0,0
3,20,0,0,0
3,21,0,0,0
3,22,0,0,0
3,23,0,0,0
4,0,1,0,0
4,1,1,0,0
4,2,1,0,0
4,3,0,0,0
4,4,1,0,0
4,5,0,0,0
4,6,4,0,0
4,7,8,0,0
4,8,10,0,0
4,9,12,1,0.083333333
4,10,15,1,0.066666667
4,11,22,0,0
4,12,20,0,0
4,13,21,0,0
4,14,22,0,0
4,15,19,0,0
4,16,12,0,0
4,17,13,1,0.076923077
4,18,1,0,0
4,19,2,0,0
4,20,0,0,0
4,21,2,0,0
4,22,0,0,0
4,23,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,4,1,0.25
5,7,6,0,0
5,8,17,0,0
5,9,18,0,0
5,10,17,0,0
5,11,20,2,0.1
5,12,21,0,0
5,13,11,2,0.181818182
5,14,13,1,0.076923077
5,15,20,0,0
5,16,9,0,0
5,17,17,0,0
5,18,1,0,0
5,19,0,0,0
5,20,0,0,0
5,21,0,0,0
5,22,0,0,0
5,23,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,8,0,0
6,7,9,0,0
6,8,13,0,0
6,9,11,0,0
6,10,11,0,0
6,11,12,2,0.166666667
6,12,15,0,0
6,13,20,1,0.05
6,14,14,0,0
6,15,24,1,0.041666667
6,16,13,0,0
6,17,6,0,0
6,18,0,0,0
6,19,0,0,0
6,20,1,0,0
6,21,0,0,0
6,22,0,0,0
6,23,0,0,0
7,0,0,0,0
7,1,1,0,0
7,2,0,0,0
7,3,1,0,0
7,4,0,0,0
7,5,0,0,0
7,6,7,0,0
7,7,11,0,0
7,8,8,0,0
7,9,17,1,0.058823529
7,10,21,0,0
7,11,13,1,0.076923077
7,12,24,1,0.041666667
7,13,15,0,0
7,14,17,1,0.058823529
7,15,24,0,0
7,16,15,1,0.066666667
7,17,6,0,0
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
7,21,0,0,0
7,22,0,0,0
7,23,0,0,0
8,0,2,0,0
8,1,0,0,0
8,2,0,0,0
8,3,0,0,0
