MONTH,HOUR,TOTAL,FATAL,percent
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,9,0,0
1,7,23,0,0
1,8,29,0,0
1,9,26,0,0
1,10,29,0,0
1,11,31,0,0
1,12,37,1,0.027027027
1,13,34,0,0
1,14,32,2,0.0625
1,15,47,0,0
1,16,31,0,0
1,17,30,0,0
1,19,1,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,1,0,0
2,4,0,0,0
2,5,0,0,0
2,6,24,0,0
2,7,37,0,0
2,8,51,1,0.019607843
2,9,35,0,0
2,10,30,0,0
2,11,32,2,0.0625
2,12,34,1,0.029411765
2,13,31,0,0
2,14,26,0,0
2,15,51,0,0
2,16,43,1,0.023255814
2,17,40,0,0
2,18,1,0,0
2,19,0,0,0
2,20,0,0,0
2,21,0,0,0
2,22,0,0,0
2,23,1,0,0
3,0,1,0,0
3,1,0,0,0
3,2,0,0,0
3,3,2,0,0
3,4,0,0,0
3,5,2,0,0
3,6,18,0,0
3,7,35,1,0.028571429
3,8,64,0,0
3,9,38,1,0.026315789
3,10,35,1,0.028571429
3,11,38,1,0.026315789
3,12,32,0,0
3,13,44,0,0
3,14,40,2,0.05
3,15,67,1,0.014925373
3,16,46,0,0
3,17,29,1,0.034482759
3,18,0,0,0
3,19,1,0,0
3,20,1,0,0
3,21,0,0,0
3,22,0,0,0
3,23,0,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,8,0,0
4,7,31,0,0
4,8,40,0,0
4,9,29,0,0
4,10,21,0,0
4,11,41,0,0
4,12,34,0,0
4,13,44,1,0.022727273
4,14,27,0,0
4,15,48,0,0
4,16,45,1,0.022222222
4,17,45,0,0
4,18,0,0,0
4,19,1,0,0
4,20,1,0,0
4,21,1,0,0
4,22,2,0,0
4,23,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,1,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,33,0,0
5,7,27,1,0.037037037
5,8,51,0,0
5,9,42,0,0
5,10,26,0,0
5,11,33,2,0.060606061
5,12,33,1,0.03030303
5,13,38,0,0
5,14,44,1,0.022727273
5,15,36,0,0
5,16,39,0,0
5,17,38,0,0
5,18,1,0,0
5,19,0,0,0
5,20,0,0,0
5,21,0,0,0
5,22,0,0,0
5,23,0,0,0
6,0,0,0,0
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,1,0,0
6,6,12,0,0
6,7,43,1,0.023255814
6,8,42,1,0.023809524
6,9,26,0,0
6,10,26,1,0.038461538
6,11,29,0,0
6,12,31,0,0
6,13,39,0,0
6,14,33,0,0
6,15,46,0,0
6,16,36,0,0
6,17,35,1,0.028571429
6,18,1,0,0
6,19,0,0,0
6,20,0,0,0
6,21,0,0,0
6,22,0,0,0
6,23,0,0,0
7,0,1,0,0
7,1,0,0,0
7,2,0,0,0
7,3,1,0,0
7,4,0,0,0
7,5,0,0,0
7,6,23,1,0.043478261
7,7,29,0,0
7,8,42,0,0
7,9,33,1,0.03030303
7,10,37,0,0
7,11,30,0,0
7,12,31,0,0
7,13,42,0,0
7,14,37,0,0
7,15,47,0,0
7,16,38,0,0
7,17,43,0,0
7,18,0,0,0
7,19,0,0,0
7,20,0,0,0
7,21,1,0,0
7,22,1,1,1
7,23,0,0,0
8,0,2,0,0
8,1,0,0,0
8,2,1,0,0
8,3,0,0,0
8,4,0,0,0
8,5,0,0,0
8,6,21,1,0.047619048
8,7,32,0,0
8,8,45,0,0
