MONTH,HOUR,TOTAL,FATAL,percent
1,0,13,0,0
1,1,19,0,0
1,2,6,0,0
1,3,13,0,0
1,4,7,0,0
1,5,12,3,0.25
1,6,6,1,0.166666667
1,7,8,0,0
1,8,4,0,0
1,9,5,1,0.2
1,10,1,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,6,0,0
1,15,5,1,0.2
1,16,29,0,0
1,17,27,0,0
1,18,58,1,0.017241379
1,19,48,0,0
1,20,29,2,0.068965517
1,21,30,0,0
1,22,24,1,0.041666667
1,23,17,0,0
2,0,10,0,0
2,1,13,0,0
2,2,8,0,0
2,3,12,0,0
2,4,7,0,0
2,5,15,1,0.066666667
2,6,9,0,0
2,7,5,0,0
2,8,10,0,0
2,9,9,0,0
2,10,1,0,0
2,11,0,0,0
2,12,0,0,0
2,13,0,0,0
2,14,12,1,0.083333333
2,15,2,0,0
2,16,27,0,0
2,17,27,0,0
2,18,54,1,0.018518519
2,19,39,0,0
2,20,27,0,0
2,21,31,2,0.064516129
2,22,10,0,0
2,23,20,2,0.1
3,0,17,0,0
3,1,9,1,0.111111111
3,2,8,1,0.125
3,3,11,1,0.090909091
3,4,8,0,0
3,5,21,1,0.047619048
3,6,7,0,0
3,7,7,0,0
3,8,7,0,0
3,9,7,0,0
3,10,3,0,0
3,11,0,0,0
3,12,0,0,0
3,13,0,0,0
3,14,9,1,0.111111111
3,15,15,0,0
3,16,28,0,0
3,17,32,0,0
3,18,73,1,0.01369863
3,19,49,0,0
3,20,30,0,0
3,21,29,0,0
3,22,24,0,0
3,23,15,1,0.066666667
4,0,5,0,0
4,1,9,2,0.222222222
4,2,4,0,0
4,3,2,0,0
4,4,5,0,0
4,5,14,0,0
4,6,7,0,0
4,7,9,0,0
4,8,9,0,0
4,9,4,0,0
4,10,2,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,8,0,0
4,15,3,0,0
4,16,32,1,0.03125
4,17,22,0,0
4,18,69,1,0.014492754
4,19,43,0,0
4,20,36,0,0
4,21,23,0,0
4,22,16,0,0
4,23,14,0,0
5,0,15,0,0
5,1,12,0,0
5,2,11,2,0.181818182
5,3,4,0,0
5,4,6,0,0
5,5,11,1,0.090909091
5,6,12,0,0
5,7,9,0,0
5,8,6,0,0
5,9,6,0,0
5,10,1,0,0
5,11,0,0,0
5,12,0,0,0
5,13,0,0,0
5,14,8,1,0.125
5,15,4,0,0
5,16,14,0,0
5,17,19,0,0
5,18,84,4,0.047619048
5,19,51,0,0
5,20,33,0,0
5,21,29,1,0.034482759
5,22,22,2,0.090909091
5,23,13,1,0.076923077
6,0,6,0,0
6,1,10,1,0.1
6,2,3,0,0
6,3,8,0,0
6,4,5,0,0
6,5,9,1,0.111111111
6,6,10,0,0
6,7,6,0,0
6,8,2,0,0
6,9,6,0,0
6,10,2,0,0
6,11,0,0,0
6,12,0,0,0
6,13,0,0,0
6,14,8,0,0
6,15,7,0,0
6,16,19,0,0
6,17,31,0,0
6,18,75,0,0
6,19,41,2,0.048780488
6,20,35,0,0
6,21,17,0,0
6,22,19,0,0
6,23,13,0,0
7,0,11,3,0.272727273
7,1,11,0,0
7,2,5,0,0
7,3,6,0,0
7,4,10,0,0
7,5,10,0,0
7,6,7,0,0
7,7,7,0,0
7,8,6,0,0
7,9,6,1,0.166666667
7,10,0,0,0
7,11,0,0,0
7,12,0,0,0
7,13,0,0,0
7,14,4,0,0
7,15,6,0,0
7,16,24,0,0
7,17,21,0,0
7,18,72,1,0.013888889
7,19,28,1,0.035714286
7,20,26,0,0
7,21,22,0,0
7,22,20,0,0
7,23,26,1,0.038461538
8,0,7,1,0.142857143
8,1,4,0,0
8,2,4,0,0
8,3,6,0,0
8,4,10,1,0.1
8,5,12,1,0.083333333
8,6,3,0,0
8,7,3,0,0
8,8,3,0,0
8,9,11,1,0.090909091
8,10,1,0,0
8,11,0,0,0
8,12,0,0,0
8,13,0,0,0
8,14,4,0,0
8,15,5,0,0
8,16,22,0,0
8,17,21,0,0
8,18,78,3,0.038461538
8,19,46,2,0.043478261
8,20,24,0,0
8,21,16,1,0.0625
8,22,17,0,0
8,23,14,0,0
9,0,11,0,0
9,1,11,1,0.090909091
9,2,7,0,0
9,3,5,0,0
9,4,4,0,0
9,5,14,1,0.071428571
9,6,8,0,0
9,7,8,0,0
9,8,6,0,0
9,9,8,0,0
9,10,1,0,0
9,11,0,0,0
9,12,0,0,0
9,13,0,0,0
9,14,9,0,0
9,15,11,0,0
9,16,22,0,0
9,17,22,1,0.045454545
9,18,42,1,0.023809524
9,19,39,0,0
9,20,25,0,0
9,21,28,0,0
9,22,19,3,0.157894737
9,23,11,0,0
10,0,7,0,0
10,1,11,0,0
10,2,4,0,0
10,3,8,0,0
10,4,10,0,0
10,5,12,3,0.25
10,6,3,0,0
10,7,10,0,0
10,8,8,0,0
10,9,3,0,0
10,10,0,0,0
10,11,0,0,0
10,12,0,0,0
10,13,0,0,0
10,14,7,0,0
10,15,9,0,0
10,16,24,0,0
10,17,20,1,0.05
10,18,60,0,0
10,19,34,0,0
10,20,39,0,0
10,21,21,0,0
10,22,24,0,0
10,23,9,1,0.111111111
11,0,19,0,0
11,1,6,0,0
11,2,8,2,0.25
11,3,6,0,0
11,4,6,0,0
11,5,10,0,0
11,6,9,0,0
11,7,7,0,0
11,8,3,0,0
11,9,8,0,0
11,10,0,0,0
11,11,0,0,0
11,12,0,0,0
11,13,0,0,0
11,14,2,0,0
11,15,5,0,0
11,16,27,1,0.037037037
11,17,27,0,0
11,18,50,1,0.02
11,19,38,0,0
11,20,28,2,0.071428571
11,21,24,2,0.083333333
11,22,19,1,0.052631579
11,23,19,1,0.052631579
12,0,13,0,0
12,1,13,1,0.076923077
12,2,6,1,0.166666667
12,3,2,0,0
12,4,6,0,0
12,5,9,0,0
12,6,4,0,0
12,7,6,0,0
12,8,5,0,0
12,9,5,0,0
12,10,2,0,0
12,11,0,0,0
12,12,0,0,0
12,13,0,0,0
12,14,6,0,0
12,15,6,0,0
12,16,29,0,0
12,17,24,1,0.041666667
12,18,60,1,0.016666667
12,19,37,1,0.027027027
12,20,21,3,0.142857143
12,21,30,0,0
12,22,23,1,0.043478261
12,23,15,0,0
