MONTH,HOUR,TOTAL,FATAL,percent
1,0,6,0,0
1,1,13,0,0
1,2,4,0,0
1,3,7,0,0
1,4,5,0,0
1,5,8,2,0.25
1,6,4,0,0
1,7,4,0,0
1,8,1,0,0
1,9,2,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,4,0,0
1,15,3,0,0
1,16,21,0,0
1,17,21,0,0
1,18,40,1,0.025
1,19,37,0,0
1,20,21,1,0.047619048
1,21,22,0,0
1,22,17,0,0
1,23,11,0,0
2,0,5,0,0
2,1,8,0,0
2,2,6,0,0
2,3,6,0,0
2,4,4,0,0
2,5,12,1,0.083333333
2,6,6,0,0
2,7,5,0,0
2,8,8,0,0
2,9,8,0,0
2,10,0,0,0
2,11,0,0,0
2,12,0,0,0
2,13,0,0,0
2,14,4,0,0
2,15,1,0,0
2,16,17,0,0
2,17,23,0,0
2,18,40,1,0.025
2,19,28,0,0
2,20,18,0,0
2,21,23,1,0.043478261
2,22,6,0,0
2,23,14,0,0
3,0,14,0,0
3,1,4,1,0.25
3,2,4,1,0.25
3,3,4,0,0
3,4,5,0,0
3,5,15,0,0
3,6,5,0,0
3,7,5,0,0
3,8,3,0,0
3,9,7,0,0
3,10,0,0,0
3,11,0,0,0
3,12,0,0,0
3,13,0,0,0
3,14,5,0,0
3,15,8,0,0
3,16,19,0,0
3,17,18,0,0
3,18,54,0,0
3,19,35,0,0
3,20,20,0,0
3,21,20,0,0
3,22,19,0,0
3,23,9,1,0.111111111
4,0,2,0,0
4,1,9,2,0.222222222
4,2,2,0,0
4,3,1,0,0
4,4,2,0,0
4,5,7,0,0
4,6,6,0,0
4,7,9,0,0
4,8,6,0,0
4,9,2,0,0
4,10,1,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,6,0,0
4,15,2,0,0
4,16,20,1,0.05
4,17,16,0,0
4,18,61,1,0.016393443
4,19,32,0,0
4,20,26,0,0
4,21,18,0,0
4,22,14,0,0
4,23,11,0,0
5,0,9,0,0
5,1,7,0,0
5,2,7,1,0.142857143
5,3,2,0,0
5,4,3,0,0
5,5,4,0,0
5,6,10,0,0
5,7,6,0,0
5,8,4,0,0
5,9,4,0,0
5,10,1,0,0
5,11,0,0,0
5,12,0,0,0
5,13,0,0,0
5,14,6,1,0.166666667
5,15,2,0,0
5,16,8,0,0
5,17,12,0,0
5,18,68,0,0
5,19,37,0,0
5,20,29,0,0
5,21,18,0,0
5,22,19,1,0.052631579
5,23,11,1,0.090909091
6,0,5,0,0
6,1,9,1,0.111111111
6,2,2,0,0
6,3,5,0,0
6,4,5,0,0
6,5,7,1,0.142857143
6,6,9,0,0
6,7,6,0,0
6,8,2,0,0
6,9,4,0,0
6,10,1,0,0
6,11,0,0,0
6,12,0,0,0
6,13,0,0,0
6,14,3,0,0
6,15,6,0,0
6,16,14,0,0
6,17,22,0,0
